trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000162337_ZBMD,24.1366,1,ENSG00000162337,ZBMD
ENSG00000162551_IRNT_Ca,9.53413,0,ENSG00000162551,IRNT_Ca
ENSG00000162552_ZBMD,6.93085,0,ENSG00000162552,ZBMD
ENSG00000162733_IRNT_height,12.0756,0,ENSG00000162733,IRNT_height
ENSG00000162998_IRNT_height,8.5668,0,ENSG00000162998,IRNT_height
ENSG00000163050_IRNT_RBC,8.16208,0,ENSG00000163050,IRNT_RBC
ENSG00000163501_IRNT_height,26.1864,0,ENSG00000163501,IRNT_height
ENSG00000163554_IRNT_biliru,23.5486,0,ENSG00000163554,IRNT_biliru
ENSG00000163631_IRNT_biliru,7.58318,0,ENSG00000163631,IRNT_biliru
ENSG00000163631_IRNT_Ca,45.935,0,ENSG00000163631,IRNT_Ca
ENSG00000163631_IRNT_RBC,7.29745,0,ENSG00000163631,IRNT_RBC
ENSG00000163754_IRNT_height,15.5292,0,ENSG00000163754,IRNT_height
ENSG00000164062_IRNT_RBC,7.04198,0,ENSG00000164062,IRNT_RBC
ENSG00000164362_IRNT_RBC,7.89636,0,ENSG00000164362,IRNT_RBC
ENSG00000164756_IRNT_glu,12.2033,1,ENSG00000164756,IRNT_glu
ENSG00000164949_IRNT_SBP,8.09471,0,ENSG00000164949,IRNT_SBP
ENSG00000165458_IRNT_height,7.21206,0,ENSG00000165458,IRNT_height
ENSG00000165806_Cataract,18.7788,0,ENSG00000165806,Cataract
ENSG00000166033_IRNT_height,9.54966,0,ENSG00000166033,IRNT_height
ENSG00000166035_IRNT_TG,17.9379,0,ENSG00000166035,IRNT_TG
ENSG00000166147_IRNT_height,8.75575,1,ENSG00000166147,IRNT_height
ENSG00000166603_IRNT_BMI,27.5965,1,ENSG00000166603,IRNT_BMI
ENSG00000166801_IRNT_height,9.4466,0,ENSG00000166801,IRNT_height
ENSG00000166819_IRNT_TG,10.2637,0,ENSG00000166819,IRNT_TG
ENSG00000166819_IRNT_WHR,7.69878,0,ENSG00000166819,IRNT_WHR
ENSG00000167165_IRNT_biliru,35.6816,0,ENSG00000167165,IRNT_biliru
ENSG00000167601_IRNT_TG,13.4184,0,ENSG00000167601,IRNT_TG
ENSG00000167676_IRNT_WHR,8.42336,0,ENSG00000167676,IRNT_WHR
ENSG00000167676_ZBMD,9.20503,0,ENSG00000167676,ZBMD
ENSG00000167772_IRNT_TG,30.139,0,ENSG00000167772,IRNT_TG
ENSG00000167930_IRNT_glu,8.52045,0,ENSG00000167930,IRNT_glu
ENSG00000167941_ZBMD,13.9082,1,ENSG00000167941,ZBMD
ENSG00000168016_IRNT_height,8.35267,0,ENSG00000168016,IRNT_height
ENSG00000168056_IRNT_height,19.1732,1,ENSG00000168056,IRNT_height
ENSG00000168763_IRNT_height,11.585,0,ENSG00000168763,IRNT_height
ENSG00000169031_IRNT_RBC,7.99687,0,ENSG00000169031,IRNT_RBC
ENSG00000169047_IRNT_height,12.884,0,ENSG00000169047,IRNT_height
ENSG00000169174_Hypercholesterolemia,7.67315,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_biliru,11.9814,0,ENSG00000169174,IRNT_biliru
ENSG00000169174_IRNT_LDL,184.677,1,ENSG00000169174,IRNT_LDL
ENSG00000169231_IRNT_height,16.2404,0,ENSG00000169231,IRNT_height
ENSG00000169836_IRNT_height,6.90918,0,ENSG00000169836,IRNT_height
ENSG00000170374_ZBMD,9.2509,1,ENSG00000170374,ZBMD
