trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000163050_IRNT_RBC,10.0852,0,ENSG00000163050,IRNT_RBC
ENSG00000163273_IRNT_height,7.63705,0,ENSG00000163273,IRNT_height
ENSG00000163501_IRNT_height,27.9372,0,ENSG00000163501,IRNT_height
ENSG00000163554_IRNT_biliru,12.2679,0,ENSG00000163554,IRNT_biliru
ENSG00000163631_IRNT_biliru,9.32859,0,ENSG00000163631,IRNT_biliru
ENSG00000163631_IRNT_Ca,43.2226,0,ENSG00000163631,IRNT_Ca
ENSG00000163631_IRNT_RBC,7.04019,0,ENSG00000163631,IRNT_RBC
ENSG00000163754_IRNT_height,15.9807,0,ENSG00000163754,IRNT_height
ENSG00000164062_IRNT_RBC,10.7144,0,ENSG00000164062,IRNT_RBC
ENSG00000164151_IRNT_height,7.32022,0,ENSG00000164151,IRNT_height
ENSG00000164362_IRNT_RBC,9.6764,0,ENSG00000164362,IRNT_RBC
ENSG00000164949_IRNT_SBP,8.74862,0,ENSG00000164949,IRNT_SBP
ENSG00000165029_IRNT_LDL,10.7474,1,ENSG00000165029,IRNT_LDL
ENSG00000165806_Cataract,17.828,0,ENSG00000165806,Cataract
ENSG00000166033_IRNT_height,9.72264,0,ENSG00000166033,IRNT_height
ENSG00000166035_IRNT_TG,14.6498,0,ENSG00000166035,IRNT_TG
ENSG00000166147_IRNT_height,11.9611,1,ENSG00000166147,IRNT_height
ENSG00000166509_IRNT_height,27.4858,0,ENSG00000166509,IRNT_height
ENSG00000166603_IRNT_BMI,33.5218,1,ENSG00000166603,IRNT_BMI
ENSG00000166603_IRNT_WHR,9.33197,1,ENSG00000166603,IRNT_WHR
ENSG00000166801_IRNT_height,12.4425,0,ENSG00000166801,IRNT_height
ENSG00000166819_IRNT_TG,19.0241,0,ENSG00000166819,IRNT_TG
ENSG00000166819_IRNT_WHR,11.3212,0,ENSG00000166819,IRNT_WHR
ENSG00000167165_IRNT_biliru,42.6868,0,ENSG00000167165,IRNT_biliru
ENSG00000167202_IRNT_Ca,7.3753,0,ENSG00000167202,IRNT_Ca
ENSG00000167325_IRNT_RBC,9.31923,1,ENSG00000167325,IRNT_RBC
ENSG00000167395_IRNT_height,9.93339,0,ENSG00000167395,IRNT_height
ENSG00000167395_IRNT_SBP,9.50034,0,ENSG00000167395,IRNT_SBP
ENSG00000167601_IRNT_height,8.47319,0,ENSG00000167601,IRNT_height
ENSG00000167676_IRNT_WHR,8.42336,0,ENSG00000167676,IRNT_WHR
ENSG00000167676_ZBMD,9.20503,0,ENSG00000167676,ZBMD
ENSG00000167772_IRNT_TG,24.184,0,ENSG00000167772,IRNT_TG
ENSG00000167930_IRNT_glu,9.21754,0,ENSG00000167930,IRNT_glu
ENSG00000168016_IRNT_height,7.22931,0,ENSG00000168016,IRNT_height
ENSG00000168159_IRNT_height,7.80687,0,ENSG00000168159,IRNT_height
ENSG00000168763_IRNT_height,15.5255,0,ENSG00000168763,IRNT_height
ENSG00000169047_IRNT_height,14.4549,0,ENSG00000169047,IRNT_height
ENSG00000169174_Hypercholesterolemia,14.0889,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_biliru,11.6361,0,ENSG00000169174,IRNT_biliru
ENSG00000169174_IRNT_LDL,218.671,1,ENSG00000169174,IRNT_LDL
ENSG00000169231_IRNT_height,19.4738,0,ENSG00000169231,IRNT_height
ENSG00000169418_hypertension,7.13037,1,ENSG00000169418,hypertension
ENSG00000169604_IRNT_height,7.80781,0,ENSG00000169604,IRNT_height
ENSG00000169855_IRNT_SBP,8.33083,0,ENSG00000169855,IRNT_SBP
ENSG00000170374_ZBMD,9.36789,1,ENSG00000170374,ZBMD
ENSG00000170819_Cataract,13.2989,1,ENSG00000170819,Cataract
ENSG00000171105_IRNT_TG,15.0374,0,ENSG00000171105,IRNT_TG
ENSG00000171105_IRNT_WHR,8.0406,0,ENSG00000171105,IRNT_WHR
ENSG00000171234_IRNT_LDL,8.96675,0,ENSG00000171234,IRNT_LDL
ENSG00000171502_IRNT_height,8.36197,0,ENSG00000171502,IRNT_height
