"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000169174_Hypercholesterolemia",14.0889,1,"ENSG00000169174","Disorders of lipoid metabolism"
"ENSG00000169174_IRNT_biliru",11.6361,0,"ENSG00000169174","dbilirubin"
"ENSG00000169174_IRNT_LDL",218.671,1,"ENSG00000169174","ldl"
"ENSG00000169231_IRNT_height",19.4738,0,"ENSG00000169231","height"
"ENSG00000169418_hypertension",7.13037,1,"ENSG00000169418","Hypertension"
"ENSG00000169604_IRNT_height",7.80781,0,"ENSG00000169604","height"
"ENSG00000169855_IRNT_SBP",8.33083,0,"ENSG00000169855","sbp"
"ENSG00000170374_ZBMD",9.36789,1,"ENSG00000170374","ebmd"
"ENSG00000170819_Cataract",13.2989,1,"ENSG00000170819","Cataract"
"ENSG00000171105_IRNT_TG",15.0374,0,"ENSG00000171105","tg"
"ENSG00000171105_IRNT_WHR",8.0406,0,"ENSG00000171105","WHR"
"ENSG00000171234_IRNT_LDL",8.96675,0,"ENSG00000171234","ldl"
"ENSG00000171502_IRNT_height",8.36197,0,"ENSG00000171502","height"
"ENSG00000171812_IRNT_height",15.3987,0,"ENSG00000171812","height"
"ENSG00000173064_IRNT_BMI",7.07763,0,"ENSG00000173064","BMI"
"ENSG00000173250_IRNT_BMI",8.803,0,"ENSG00000173250","BMI"
"ENSG00000173250_IRNT_WHR",8.98282,0,"ENSG00000173250","WHR"
"ENSG00000174032_IRNT_TG",10.1231,0,"ENSG00000174032","tg"
"ENSG00000174233_IRNT_height",9.01283,0,"ENSG00000174233","height"
"ENSG00000174989_IRNT_height",7.06644,0,"ENSG00000174989","height"
"ENSG00000175054_IRNT_RBC",7.76498,0,"ENSG00000175054","rbc"
"ENSG00000175318_IRNT_height",31.7718,0,"ENSG00000175318","height"
"ENSG00000175426_IRNT_BMI",7.34705,0,"ENSG00000175426","BMI"
"ENSG00000175445_IRNT_TG",72.0716,1,"ENSG00000175445","tg"
"ENSG00000175634_IRNT_height",7.06127,0,"ENSG00000175634","height"
"ENSG00000176907_IRNT_RBC",8.43868,0,"ENSG00000176907","rbc"
"ENSG00000177453_IRNT_height",8.3693,0,"ENSG00000177453","height"
"ENSG00000177706_ZBMD",12.3618,0,"ENSG00000177706","ebmd"
"ENSG00000178175_IRNT_height",10.7257,0,"ENSG00000178175","height"
"ENSG00000178177_IRNT_height",12.701,0,"ENSG00000178177","height"
"ENSG00000178252_IRNT_height",19.0658,0,"ENSG00000178252","height"
"ENSG00000179295_IRNT_height",27.7107,1,"ENSG00000179295","height"
"ENSG00000179455_IRNT_height",10.5453,0,"ENSG00000179455","height"
"ENSG00000180376_IRNT_height",8.24791,0,"ENSG00000180376","height"
"ENSG00000181754_IRNT_LDL",8.78764,0,"ENSG00000181754","ldl"
"ENSG00000182218_IRNT_height",7.67407,0,"ENSG00000182218","height"
"ENSG00000182511_hypertension",8.16299,0,"ENSG00000182511","Hypertension"
"ENSG00000182752_IRNT_height",13.6944,0,"ENSG00000182752","height"
"ENSG00000183087_IRNT_TG",9.16403,0,"ENSG00000183087","tg"
"ENSG00000183765_Breast_cancer",29.9213,1,"ENSG00000183765","Breast cancer"
"ENSG00000183765_Cancer_of_prostate",12.0837,1,"ENSG00000183765","Cancer of prostate"
"ENSG00000183765_IRNT_RBC",10.6724,0,"ENSG00000183765","rbc"
"ENSG00000184897_IRNT_height",7.02914,0,"ENSG00000184897","height"
"ENSG00000185038_IRNT_biliru",71.9774,0,"ENSG00000185038","dbilirubin"
"ENSG00000187091_IRNT_height",7.50959,0,"ENSG00000187091","height"
"ENSG00000187098_IRNT_RBC",9.41858,0,"ENSG00000187098","rbc"
"ENSG00000187257_IRNT_height",8.19303,0,"ENSG00000187257","height"
"ENSG00000187266_IRNT_RBC",8.62847,1,"ENSG00000187266","rbc"
"ENSG00000188487_ZBMD",27.3134,0,"ENSG00000188487","ebmd"
"ENSG00000188536_IRNT_RBC",8.4251,0,"ENSG00000188536","rbc"
"ENSG00000196712_IRNT_height",18.6402,0,"ENSG00000196712","height"
"ENSG00000196739_IRNT_height",18.1744,0,"ENSG00000196739","height"
"ENSG00000197859_IRNT_height",8.47414,0,"ENSG00000197859","height"
"ENSG00000198369_IRNT_RBC",12.582,0,"ENSG00000198369","rbc"
"ENSG00000198569_IRNT_RBC",11.9421,0,"ENSG00000198569","rbc"
"ENSG00000198586_IRNT_height",9.96255,0,"ENSG00000198586","height"
"ENSG00000198743_IRNT_WHR",11.5363,0,"ENSG00000198743","WHR"
"ENSG00000198756_IRNT_height",14.2423,0,"ENSG00000198756","height"
"ENSG00000198873_IRNT_height",7.96174,0,"ENSG00000198873","height"
"ENSG00000204520_IRNT_height",6.99959,0,"ENSG00000204520","height"
"ENSG00000204614_IRNT_height",10.9771,0,"ENSG00000204614","height"
"ENSG00000204614_IRNT_LDL",7.72523,0,"ENSG00000204614","ldl"
"ENSG00000204614_IRNT_WHR",7.1124,0,"ENSG00000204614","WHR"
"ENSG00000206177_IRNT_RBC",9.97763,0,"ENSG00000206177","rbc"
"ENSG00000213398_IRNT_TG",10.59,0,"ENSG00000213398","tg"
"ENSG00000213445_hypertension",9.0028,0,"ENSG00000213445","Hypertension"
"ENSG00000213996_IRNT_TG",12.7412,0,"ENSG00000213996","tg"
"ENSG00000214944_IRNT_height",7.52733,0,"ENSG00000214944","height"
"ENSG00000240505_IRNT_RBC",19.8701,0,"ENSG00000240505","rbc"
"ENSG00000241119_IRNT_biliru",38.9173,0,"ENSG00000241119","dbilirubin"
"ENSG00000241635_IRNT_biliru",62.1646,1,"ENSG00000241635","dbilirubin"
"ENSG00000242366_IRNT_biliru",31.3688,1,"ENSG00000242366","dbilirubin"
"ENSG00000242515_IRNT_biliru",36.6379,0,"ENSG00000242515","dbilirubin"
"ENSG00000244122_IRNT_biliru",73.7265,0,"ENSG00000244122","dbilirubin"
"ENSG00000244474_IRNT_biliru",32.8879,0,"ENSG00000244474","dbilirubin"
